category,axis,value
0030b00001uzspPAAQ,Community,"7.3"
0030b00001uzspPAAQ,Enablement,"5.96"
0030b00001uzspPAAQ,Foundations,"8.11"
0030b00001uzspPAAQ,Governance,"7.09"
0030b00001uzspPAAQ,"Operational Excellence","5.494"
0030b00001uzwIvAAI,"Business Value","6.65"
0030b00001uzwIvAAI,Foundations,"5.5"
0030b00001uzwIvAAI,Governance,"3.615"
0030b00001v01C1AAI,"Business Value","7.4"
0030b00001v01C1AAI,Community,"8.18"
0030b00001v01C1AAI,Enablement,"8.38"
0030b00001v01C1AAI,Foundations,"3.8"
0030b00001v01C1AAI,Governance,"9.05"
0030b00001v01C1AAI,"Operational Excellence","8.808"
0030b00001v01R2AAI,"Business Value","6.85"
0030b00001v01R2AAI,Community,"6.4"
0030b00001v01R2AAI,Enablement,"5.1"
0030b00001v01R2AAI,Foundations,"5.57"
0030b00001v01R2AAI,Governance,"6.09"
0030b00001v01R2AAI,"Operational Excellence","7.39"
0030b00001v02gIAAQ,"Business Value","6.85"
0030b00001v02gIAAQ,Community,"8.14"
0030b00001v02gIAAQ,Enablement,"6.38"
0030b00001v02gIAAQ,Foundations,"8.55"
0030b00001v02gIAAQ,Governance,"6.77"
0030b00001v02gIAAQ,"Operational Excellence","7.182"
0030b00001v07IaAAI,"Business Value","3.5"
0030b00001v07IaAAI,Community,"4.08"
0030b00001v07IaAAI,Enablement,"1.1"
0030b00001v07IaAAI,Foundations,"5.05"
0030b00001v07IaAAI,Governance,"1.745"
0030b00001v07IaAAI,"Operational Excellence","1.56"
0030b00001v08boAAA,"Business Value",9
0030b00001v08boAAA,Community,"9.34"
0030b00001v08boAAA,Enablement,"8.24"
0030b00001v08boAAA,Foundations,9
0030b00001v08boAAA,Governance,9
0030b00001v08boAAA,"Operational Excellence",9
0030b00001vU7NYAA0,"Business Value","3.5"
0030b00001vU7NYAA0,Community,"1.94"
0030b00001vU7NYAA0,Enablement,"2.54"
0030b00001vU7NYAA0,Foundations,"1.57"
0030b00001vU7NYAA0,Governance,"4.59"
0030b00001vU7NYAA0,"Operational Excellence","2.54"
0030b00001vU8QxAAK,"Business Value","8.15"
0030b00001vU8QxAAK,Community,"7.22"
0030b00001vU8QxAAK,Enablement,"5.66"
0030b00001vU8QxAAK,Foundations,7
0030b00001vU8QxAAK,Governance,"7.46"
0030b00001vU8QxAAK,"Operational Excellence","6.714"
0030b00001vUAxoAAG,"Business Value","2.05"
0030b00001vUAxoAAG,Community,"0.28"
0030b00001vUAxoAAG,Enablement,"1.36"
0030b00001vUAxoAAG,Foundations,"1.35"
0030b00001vUAxoAAG,Governance,"3.96"
0030b00001vUAxoAAG,"Operational Excellence",7
0030b00001vUEqFAAW,"Business Value","6.3"
0030b00001vUEqFAAW,Community,"5.14"
0030b00001vUEqFAAW,Enablement,"5.58"
0030b00001vUEqFAAW,Foundations,"6.22"
0030b00001vUEqFAAW,Governance,"5.64"
0030b00001vUEqFAAW,"Operational Excellence","5.636"
0030b00001vUHkzAAG,"Business Value","6.15"
0030b00001vUHkzAAG,Community,"8.64"
0030b00001vUHkzAAG,Enablement,"8.28"
0030b00001vUHkzAAG,Foundations,"6.81"
0030b00001vUHkzAAG,Governance,"7.165"
