timestamp,"bytes_in","bytes_out","host"
1458699246,570,570,host111
1458699246,570,570,host111
1458699246,570,570,host111
1458699246,570,570,host111
1458699246,0,408,host111
1458699246,1140,1140,host111
1458699246,0,128,host111
1458699246,204,204,host111
1458699246,78,78,host111
1458699246,0,128,host111
1458699247,7715,1785,host18
1458699248,0,110,host19
1458699248,0,110,host19
1458699247,0,70,host111
1458699247,0,82,host111
1458699247,114,110,host241
1458699247,114,110,host241
1458699247,3946,398,host111
1458699247,103,91,host241
1458699247,232,192,host241
1458699247,778,1110,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,5839,5327,host241
1458699247,7685,1759,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,103,91,host241
1458699247,166,81,host241
1458699247,365130,20725,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,11456,14933,host241
1458699247,77,81,host241
1458699247,538,87,host241
1458699247,116,64,host241
1458699247,3113,4079,host241
1458699247,6842,2052,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,54,78,host241
1458699247,0,78,host111
1458699247,0,78,host111
1458699247,0,102,host241
1458699247,0,102,host241
1458699247,114,110,host241
1458699247,114,110,host241
1458699247,114,110,host241
1458699247,64,78,host111
1458699247,353,160,host111
1458699248,78,319,host111
1458699248,0,64,host111
1458699249,0,151,host19
1458699248,0,70,host111
1458699248,8583,1694,host18
1458699248,118,90,host18
1458699248,3946,398,host111
1458699248,0,110,host241
1458699248,58,64,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,2655,1802,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,58,64,host241
1458699248,263,188,host241
1458699248,96,84,host241
1458699248,118,85,host241
1458699248,58,64,host241
1458699248,1308,1003,host241
1458699248,54,78,host241
1458699248,58,64,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,0,558,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,54,78,host241
1458699248,0,102,host241
1458699248,0,110,host241
1458699248,0,110,host241
1458699248,179292,1955063,host111
1458699248,0,70,host111
1458699248,394,192,host111
1458699248,0,290,host111
1458699248,0,70,host111
1458699248,0,70,host111
1458699248,0,70,host111
1458699248,0,70,host111
1458699248,0,70,host111
1458699248,0,70,host111
1458699248,0,70,host111
1458699248,0,70,host111
1458699248,0,70,host111
1458699248,64,78,host111
1458699248,64,78,host111
1458699248,64,78,host111
1458699248,0,156,host111
1458699248,0,243,host111
1458699248,0,243,host111
1458699248,128,120,host111
1458699248,570,570,host111
1458699248,570,570,host111
1458699248,1140,1140,host111
1458699248,0,408,host111
1458699248,0,243,host111
1458699248,0,243,host111
1458699248,0,162,host111
1458699248,0,162,host111
1458699248,0,128,host111
1458699248,0,120,host111
1458699248,0,128,host111
1458699249,132,82,host111
1458699249,0,155,host111
1458699249,7082,9605,host111
1458699249,123,83,host111
1458699249,93,77,host111
1458699249,138,92,host111
1458699249,166,86,host111
1458699249,135,98,host111
1458699249,142,296,host111
1458699249,155,107,host111
1458699249,271,188,host111
1458699249,200,100,host111
1458699249,4819,3220,host111
1458699249,10540,336273,host111
1458699249,1411,912,host111
1458699249,1498,949,host111
1458699249,22113,63939,host111
1458699249,0,155,host111
1458699249,0,155,host111
1458699249,222,85,host111
1458699249,194,93,host111
1458699249,64,78,host111
